latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
-17.89906,177.31445,336.3,0.61,0.71,2020-01-06,0054,1,nominal,1.0NRT,293.4,4.6,D
-17.90021,177.3132,335.8,0.61,0.71,2020-01-06,0054,1,nominal,1.0NRT,293.9,5.3,D
-17.89368,177.31235,327.8,0.61,0.71,2020-01-06,0054,1,nominal,1.0NRT,293.8,3.8,D
-17.37679,178.16914,326.7,0.53,0.67,2020-01-06,0054,1,nominal,1.0NRT,295.7,2.5,D
-16.42032,179.33083,325.8,0.43,0.62,2020-01-06,0054,1,nominal,1.0NRT,293.3,2.5,D
-39.31033,176.90334,367,0.57,0.43,2020-01-06,0230,1,high,1.0NRT,337.1,245.7,D
-39.30894,176.90997,367,0.57,0.43,2020-01-06,0230,1,low,1.0NRT,329.9,245.7,D
-39.30362,176.91527,335.4,0.57,0.43,2020-01-06,0230,1,nominal,1.0NRT,297.4,19.4,D
-39.30503,176.90855,346.2,0.57,0.43,2020-01-06,0230,1,nominal,1.0NRT,313.4,43,D
-39.30645,176.90181,343.7,0.57,0.43,2020-01-06,0230,1,nominal,1.0NRT,318,43,D
-39.29978,176.91354,344.4,0.57,0.43,2020-01-06,0230,1,nominal,1.0NRT,300.2,19.4,D
-39.30117,176.90691,354.6,0.57,0.43,2020-01-06,0230,1,nominal,1.0NRT,305.5,43,D
-39.30256,176.9003,329.9,0.57,0.43,2020-01-06,0230,1,nominal,1.0NRT,296.2,43,D
-39.29592,176.91187,350.7,0.57,0.43,2020-01-06,0230,1,nominal,1.0NRT,300.3,9.8,D
-39.13144,177.18494,335.2,0.39,0.44,2020-01-06,0230,1,nominal,1.0NRT,292.5,0.8,D
-39.12746,177.18349,346.3,0.39,0.44,2020-01-06,0230,1,nominal,1.0NRT,300,5.7,D
-39.23506,174.45418,329.2,0.45,0.39,2020-01-06,0230,1,nominal,1.0NRT,296.6,2.2,D
-29.42482,152.106,330,0.76,0.77,2020-01-06,0230,1,nominal,1.0NRT,296.8,18.8,D
-29.41768,152.10521,367,0.76,0.77,2020-01-06,0230,1,high,1.0NRT,298.2,18.8,D
-29.41796,152.09753,352.6,0.76,0.77,2020-01-06,0230,1,nominal,1.0NRT,298.6,18.8,D
-29.401,152.16982,334.8,0.75,0.77,2020-01-06,0230,1,nominal,1.0NRT,298.5,9,D
-29.39412,152.16246,367,0.75,0.77,2020-01-06,0230,1,high,1.0NRT,299.4,26.3,D
-29.39388,152.16913,354,0.75,0.77,2020-01-06,0230,1,nominal,1.0NRT,298.6,20,D
-29.38459,152.22867,345.8,0.74,0.76,2020-01-06,0230,1,nominal,1.0NRT,297.4,13.2,D
-29.37728,152.23395,331.3,0.74,0.76,2020-01-06,0230,1,nominal,1.0NRT,297.7,5.8,D
-29.42214,152.10295,367,0.76,0.77,2020-01-06,0230,1,high,1.0NRT,301,26,D
-29.42249,152.09492,334.5,0.76,0.77,2020-01-06,0230,1,nominal,1.0NRT,298.3,25.7,D
-29.41469,152.10957,330.9,0.75,0.77,2020-01-06,0230,1,nominal,1.0NRT,297.6,26,D
-29.39798,152.16672,367,0.75,0.77,2020-01-06,0230,1,high,1.0NRT,300.1,21.1,D
-29.39771,152.17314,335.6,0.75,0.77,2020-01-06,0230,1,nominal,1.0NRT,296.9,16.7,D
-29.39825,152.16039,352.2,0.75,0.77,2020-01-06,0230,1,nominal,1.0NRT,298.3,21.1,D
-29.39855,152.15318,338.7,0.75,0.77,2020-01-06,0230,1,nominal,1.0NRT,297.9,17.1,D
-29.38098,152.23206,348.2,0.74,0.76,2020-01-06,0230,1,nominal,1.0NRT,298.1,15.2,D
-29.38126,152.22543,335.4,0.74,0.76,2020-01-06,0230,1,nominal,1.0NRT,297.7,10.3,D
-21.45869,165.83499,347.8,0.38,0.36,2020-01-06,0236,1,nominal,1.0NRT,303.8,4.4,D
-20.91827,165.08409,335.3,0.38,0.36,2020-01-06,0236,1,nominal,1.0NRT,301.2,2.2,D
-20.7494,164.8765,335,0.39,0.36,2020-01-06,0236,1,nominal,1.0NRT,298.9,2,D
-20.74607,164.87592,352.8,0.39,0.36,2020-01-06,0236,1,nominal,1.0NRT,302.2,6.5,D
-20.74662,164.87225,340.1,0.39,0.36,2020-01-06,0236,1,nominal,1.0NRT,298,6.5,D
-16.91385,178.66464,332.2,0.73,0.76,2020-01-06,0236,1,nominal,1.0NRT,295.2,4,D
-16.91542,178.66502,331.6,0.73,0.76,2020-01-06,0236,1,nominal,1.0NRT,295.1,5,D
-17.81457,168.48433,336.8,0.49,0.4,2020-01-06,0236,1,nominal,1.0NRT,293.3,6.2,D
-17.71456,168.56743,341.2,0.5,0.41,2020-01-06,0236,1,nominal,1.0NRT,294.5,13.4,D
-21.33183,140.70583,338,0.39,0.36,2020-01-06,0418,1,nominal,1.0NRT,294.3,2.9,D
-21.3285,140.70523,342.3,0.39,0.36,2020-01-06,0418,1,nominal,1.0NRT,297.1,2.9,D
-21.32244,140.70033,340.5,0.39,0.36,2020-01-06,0418,1,nominal,1.0NRT,302.7,7.4,D
-21.31911,140.69975,355.5,0.39,0.36,2020-01-06,0418,1,nominal,1.0NRT,311.2,13.7,D
-21.3158,140.69916,354.3,0.39,0.36,2020-01-06,0418,1,nominal,1.0NRT,309.8,13.7,D
-20.09423,147.00357,337.2,0.5,0.49,2020-01-06,0418,1,nominal,1.0NRT,298.1,5.6,D
-20.08967,147.00294,346.8,0.5,0.49,2020-01-06,0418,1,nominal,1.0NRT,299.9,5.6,D
-20.1632,144.18153,339.2,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,291.4,5,D
-20.16408,144.17665,350.5,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,301.8,6.4,D
-20.16494,144.17184,335.7,0.51,0.41,2020-01-06,0418,1,nominal,1.0NRT,300.8,6.4,D
-20.15853,144.18568,337.7,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,286.4,5,D
-20.1603,144.17589,336.4,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,301.8,6.4,D
-20.15387,144.18979,334.7,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,294.7,5.9,D
-20.15475,144.18489,338.4,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,294.1,9.3,D
-20.15562,144.18005,347,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,298.3,9.3,D
-20.15183,144.17929,349.4,0.52,0.41,2020-01-06,0418,1,nominal,1.0NRT,299.3,9.3,D
-20.15026,144.05818,344.4,0.51,0.41,2020-01-06,0418,1,nominal,1.0NRT,313,12.1,D
-19.96124,144.42403,347,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,299.1,12.3,D
-19.95647,144.42842,341.3,0.54,0.42,2020-01-06,0418,1,nominal,1.0NRT,295,7.7,D
-19.95739,144.42325,349.1,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,301,7.7,D
-19.95354,144.42249,351.8,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,303.7,7.7,D
-19.94674,144.41594,336.2,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,304.7,9.7,D
-19.92614,144.4863,344,0.54,0.42,2020-01-06,0418,1,nominal,1.0NRT,307.3,17.6,D
-19.93163,144.45573,348.2,0.54,0.42,2020-01-06,0418,1,nominal,1.0NRT,291.5,13.8,D
-19.95213,144.29697,333.6,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,302.7,3.7,D
-19.94651,144.3062,331.6,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,298.2,5,D
-19.9474,144.30122,351,0.53,0.42,2020-01-06,0418,1,nominal,1.0NRT,302.3,19.1,D
